replicate,dice,iou,pixel_precision,pixel_recall,specificity,pixel_accuracy
205,0.8401030142014683,0.7291663741623486,0.8536790465496007,0.8330748609839433,0.9559624677172727,0.9306140278506052
206,0.8548265056047921,0.7468874218117931,0.8585696666080245,0.8512427730019325,0.9665798611238507,0.9475418962409904
207,0.8556633649423131,0.7487160168374507,0.8592194811060269,0.8522333698770593,0.9606709127910645,0.940215385317652
208,0.8480468780013042,0.740823944883401,0.8604222695121007,0.84219592664815,0.9668854461067918,0.9407099458929845
209,0.8449226302021065,0.736481812579042,0.8583020337390346,0.8380703384276507,0.9575561997657022,0.9308810461090861
210,0.8541816825818803,0.7463535334110237,0.8589781991869964,0.8495147306870766,0.9524492724746793,0.9340474354289725
211,0.8406621124032657,0.7297469042512641,0.8544190276294259,0.8334159503244778,0.9538095001875826,0.9269296065171209
212,0.8517672764599387,0.742413115680489,0.8551524202333443,0.8485187807054976,0.9614689959752915,0.9419540907825994
213,0.8108041486657861,0.6973665789848531,0.8510477079756322,0.7962665233252645,0.9566059160392542,0.9108408446417497
214,0.8549056360588355,0.7473009448762196,0.8572166136146931,0.8527222376647551,0.954710286869221,0.9364630526153512
215,0.8393266690506563,0.731989229237238,0.8600686808425809,0.8315068136737473,0.9626897450817284,0.9329637934951067
216,0.8320908463872994,0.7213698065908629,0.8543336080395886,0.8227805106234028,0.9442792007781299,0.9137853774310628
217,0.8317831619150866,0.7208714360100373,0.8549149651362555,0.8216147086956697,0.9591991460900994,0.9270026817252301
218,0.849461205477785,0.7393384487116684,0.8533831663673135,0.8456709641835057,0.950932911896341,0.9316139006268103
219,0.8483125904057823,0.7415599221759286,0.861123098321933,0.8420204258641898,0.9567552610253321,0.931555553624823
220,0.8560883691046597,0.7490285232178596,0.8603585884940645,0.8519496981085305,0.9514314028277886,0.9325827217759266
221,0.8483503378558253,0.7414483371216326,0.8616146383935144,0.8416219320991345,0.965143604219007,0.9390098810953382
222,0.8461544226551299,0.7378098684281418,0.8587425585793491,0.8400794181258678,0.964534774321434,0.9380931216457946
223,0.8510060301682438,0.7414627098648174,0.856016537940891,0.8461376013161168,0.9440266021022182,0.9276692662397
224,0.852934497761874,0.7440417354801815,0.8564145921370067,0.8495994654296339,0.9623830444806686,0.9432149863974476
225,0.8484649408541428,0.741570632103133,0.860073160873088,0.8433773519990285,0.9606527618703369,0.936740859931933
226,0.8433765669073626,0.7339753292812425,0.8579760196962664,0.8352837243625558,0.9607607744710116,0.9323516221278665
227,0.846980783303736,0.7393787489339205,0.8598213562218483,0.8406996784680638,0.9609986717317244,0.9370751405345153
